"Author Type","Female","Male","Female_prc","OR","OR_L","OR_U"
"Single",301,484,38.343949044586,0.908263602952015,0.781429586242743,1.05568407822111
"First",1206,1392,46.4203233256351,1.41108138996789,1.28703832396656,1.54707956401571
"Co-author",1247,1834,40.4738721194417,1.00190523996237,0.916996559837382,1.09467598225457
"Last",911,1687,35.0654349499615,0.72746695112654,0.661890998144049,0.799539752716459
"All",3665,5397,40.4436106819687,NA,NA,NA
