"BIBTEXKEY","first_name","middle_name","last_name","full_name","JOURNAL","NUMBER","PAGES","TITLE","TYPE","VOLUME","YEAR","DOI","URL","AFFILIATIONS","AUTHOR_KEYWORDS","PUBLICATION_STAGE","SOURCE","Affiliation_country","Affiliation_country_code","Gender","Gender.Probability","Gender.Count","composite_name","author_id","paper_id_author_id","author_order","author_last","author_single","unique_name","OA","Citations"
"Bahr200558","Nan",NA,"Bahr","Nan Bahr","Psychology of Music","1","58 – 93","Diversity of accuracy profiles for absolute pitch recognition","Article","33",2005,"10.1177/0305735605048014","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-61049155670&doi = 10.1177%2f0305735605048014&partnerID = 40&md5 = f0eaeeb638b6521acb9c0709bf60278a","University of Queensland, Australia; University of Queensland, Ipswich Campus, School of Education, Ipswich, QLD 4305, 11 Salisbury Road, Australia","Aaural development; Aural perception; Perfect pitch","Final","Scopus","Australia","AU","female",1,424,"Nan Bahr","author1","Bahr200558_author1",1,0,0,"bahr_nan","Undefined",20
"Bahr200558","Carol","A.","Christensen","Carol A. Christensen","Psychology of Music","1","58 – 93","Diversity of accuracy profiles for absolute pitch recognition","Article","33",2005,"10.1177/0305735605048014","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-61049155670&doi = 10.1177%2f0305735605048014&partnerID = 40&md5 = f0eaeeb638b6521acb9c0709bf60278a","University of Queensland, Australia; University of Queensland, Ipswich Campus, School of Education, Ipswich, QLD 4305, 11 Salisbury Road, Australia","Aaural development; Aural perception; Perfect pitch","Final","Scopus","Australia","AU","female",1,7891,"Carol Christensen","author2","Bahr200558_author2",2,0,0,"christensen_carol","Undefined",20
"Bahr200558","Mark",NA,"Bahr","Mark Bahr","Psychology of Music","1","58 – 93","Diversity of accuracy profiles for absolute pitch recognition","Article","33",2005,"10.1177/0305735605048014","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-61049155670&doi = 10.1177%2f0305735605048014&partnerID = 40&md5 = f0eaeeb638b6521acb9c0709bf60278a","University of Queensland, Australia; University of Queensland, Ipswich Campus, School of Education, Ipswich, QLD 4305, 11 Salisbury Road, Australia","Aaural development; Aural perception; Perfect pitch","Final","Scopus","Australia","AU","male",1,53749,"Mark Bahr","author3","Bahr200558_author3",3,1,0,"bahr_mark","Undefined",20
"Unwin2002175","Margaret","M.","Unwin","Margaret M. Unwin","Psychology of Music","2","175 – 185","The effects of group singing on mood","Article","30",2002,"10.1177/0305735602302004","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-4544262967&doi = 10.1177%2f0305735602302004&partnerID = 40&md5 = ef7b4253daea455ebe136bfa979bdc5b","National Voice Centre, University of Sydney, 2006, Australia",NA,"Final","Scopus","Australia","AU","female",1,11653,"Margaret Unwin","author1","Unwin2002175_author1",1,0,0,"unwin_margaret","Undefined",71
"Unwin2002175","Dianna","T.","Kenny","Dianna T. Kenny","Psychology of Music","2","175 – 185","The effects of group singing on mood","Article","30",2002,"10.1177/0305735602302004","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-4544262967&doi = 10.1177%2f0305735602302004&partnerID = 40&md5 = ef7b4253daea455ebe136bfa979bdc5b","National Voice Centre, University of Sydney, 2006, Australia",NA,"Final","Scopus","Australia","AU","female",1,558,"Dianna Kenny","author2","Unwin2002175_author2",2,0,0,"kenny_dianna","Undefined",71
"Unwin2002175","Pamela","J.","Davis","Pamela J. Davis","Psychology of Music","2","175 – 185","The effects of group singing on mood","Article","30",2002,"10.1177/0305735602302004","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-4544262967&doi = 10.1177%2f0305735602302004&partnerID = 40&md5 = ef7b4253daea455ebe136bfa979bdc5b","National Voice Centre, University of Sydney, 2006, Australia",NA,"Final","Scopus","Australia","AU","female",1,4127,"Pamela Davis","author3","Unwin2002175_author3",3,1,0,"davis_pamela","Undefined",71
"Spahn2005256","Claudia",NA,"Spahn","Claudia Spahn","Psychology of Music","3","256 – 268","Health locus of control and preventive behaviour among students of music","Article","33",2005,"10.1177/0305735605053733","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33846298290&doi = 10.1177%2f0305735605053733&partnerID = 40&md5 = efa02af2c5757fdf19b8115e353651a8","Freiburg University, Germany; Zurich University of Music; Department of Psychosomatic Medicine and Psychotherapy, University Clinic Freiburg, D-79104 Freiburg i. Br., Hauptstrae 8, Germany","Job-related health problems; Musicians; Prevention","Final","Scopus","Germany","DE","female",0.99,69742,"Claudia Spahn","author1","Spahn2005256_author1",1,0,0,"spahn_claudia","Undefined",12
"Spahn2005256","Thorsten",NA,"Burger","Thorsten Burger","Psychology of Music","3","256 – 268","Health locus of control and preventive behaviour among students of music","Article","33",2005,"10.1177/0305735605053733","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33846298290&doi = 10.1177%2f0305735605053733&partnerID = 40&md5 = efa02af2c5757fdf19b8115e353651a8","Freiburg University, Germany; Zurich University of Music; Department of Psychosomatic Medicine and Psychotherapy, University Clinic Freiburg, D-79104 Freiburg i. Br., Hauptstrae 8, Germany","Job-related health problems; Musicians; Prevention","Final","Scopus","Germany","DE","male",1,33482,"Thorsten Burger","author2","Spahn2005256_author2",2,0,0,"burger_thorsten","Undefined",12
"Spahn2005256","Horst",NA,"Hildebrandt","Horst Hildebrandt","Psychology of Music","3","256 – 268","Health locus of control and preventive behaviour among students of music","Article","33",2005,"10.1177/0305735605053733","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33846298290&doi = 10.1177%2f0305735605053733&partnerID = 40&md5 = efa02af2c5757fdf19b8115e353651a8","Freiburg University, Germany; Zurich University of Music; Department of Psychosomatic Medicine and Psychotherapy, University Clinic Freiburg, D-79104 Freiburg i. Br., Hauptstrae 8, Germany","Job-related health problems; Musicians; Prevention","Final","Scopus","Germany","DE","male",0.99,20284,"Horst Hildebrandt","author3","Spahn2005256_author3",3,0,0,"hildebrandt_horst","Undefined",12
"Spahn2005256","Karin",NA,"Seidenglanz","Karin Seidenglanz","Psychology of Music","3","256 – 268","Health locus of control and preventive behaviour among students of music","Article","33",2005,"10.1177/0305735605053733","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33846298290&doi = 10.1177%2f0305735605053733&partnerID = 40&md5 = efa02af2c5757fdf19b8115e353651a8","Freiburg University, Germany; Zurich University of Music; Department of Psychosomatic Medicine and Psychotherapy, University Clinic Freiburg, D-79104 Freiburg i. Br., Hauptstrae 8, Germany","Job-related health problems; Musicians; Prevention","Final","Scopus","Germany","DE","female",0.99,33045,"Karin Seidenglanz","author4","Spahn2005256_author4",4,1,0,"seidenglanz_karin","Undefined",12
