"Gender","composite_name","n"
"female","Pamela Heaton",3
"female","Patricia Holmes",3
"female","Ragnhild Solberg",3
"female","Ruth Herbert",3
"female","Ruth Mark",3
"female","Sabine Boerner",3
"female","Sarah Creel",3
"female","Sarah Knight",3
"female","Solange Glasser",3
"female","Sonia Bourdaghs",3
"female","Stefania Serafin",3
"female","Susan Maury",3
"female","Susan O'neill",3
"female","São Castro",3
"female","Sølvi Ystad",3
"female","Tal-Chen Rabinowitch",3
"female","Tanushree Agrawal",3
"female","Teresa Gomes",3
"female","Tiija Rinta",3
"female","Toni Bechtold",3
"female","You Kim",3
"female","Yuri Broze",3
"female","Ève Poudrier",3
"female","Adina Mornell",2
"female","Aimee Battcock",2
"female","Alessandra Pecunioso",2
"female","Alexandra Ullsten",2
"female","Alice Bartoli",2
"female","Alice-Ann Darrow",2
"female","Aline Moussard",2
"female","Amandine Penel",2
"female","Amee Baird",2
"female","Amelia Turrell",2
"female","Amy Riegelman",2
"female","Ana Butkovic",2
"female","Ana-Maria Cazan",2
"female","Anabela Pereira",2
"female","Andrada Faur",2
"female","Andrea Kilgour",2
"female","Andrea Levitt",2
"female","Andrea Norton",2
"female","Anna Fiveash",2
"female","Anna Wiedemann",2
"female","Anna-Kaisa Kaila",2
"female","Anna-Kaisa Ylitalo",2
"female","Annabella Fung",2
"female","Anne-Marie Czajkowski",2
"female","Annemieke Van den Tol",2
"female","Annemieke van den Tol",2
"female","Annie Luciani",2
"female","Antje Bullack",2
"female","Ariadna Capasso",2
"female","Arla Good",2
"female","Atarah Fisher",2
"female","Barbara Carretti",2
"female","Barbara Colombo",2
"female","Betty Bailey",2
"female","Brenda Stoesz",2
"female","Brigitta Danuser",2
"female","Bénédicte Poulin-Charronnat",2
"female","Callula Killingly",2
"female","Camilla Silva",2
"female","Cara Fesjian",2
"female","Caroline Owen",2
"female","Caroline Traube",2
"female","Carolyn Drake",2
"female","Catharina Voss",2
"female","Catherine Loveday",2
"female","Catherine Wan",2
"female","Cecilie Møller",2
"female","Ceren Ayyildiz",2
"female","Chara Steliou",2
"female","Chisato Mitani",2
"female","Christiane Neuhaus",2
"female","Christina Svec",2
"female","Costanza Preti",2
"female","Cynthia Killough",2
"female","Céline Kosirnik",2
"female","Dalia Cohen",2
"female","Dana Swarbrick",2
"female","Danae Stefanou",2
"female","Daniela Coimbra",2
"female","Daniele Schön",2
"female","Darlene DeMarie",2
"female","Delphine Courvoisier",2
"female","Delphine Dellacherie",2
"female","Destiny Feltner-Williams",2
"female","Diana Blom",2
"female","Dianne Vella-Brodrick",2
"female","Dimitra Kokotsaki",2
"female","Dominique Morsomme",2
"female","Doris McIlwain",2
"female","Dorothy Miell",2
"female","Eiluned Pearce",2
"female","Eleanor Selfridge-Field",2
"female","Elena Bai",2
"female","Elisabeth Freer",2
"female","Elizabeth Vella",2
"female","Elizabeth Wakefield",2
"female","Ellen Poliakoff",2
"female","Elyse Williams",2
"female","Emily Elliott",2
"female","Erika Skoe",2
"female","Esther Coorevits",2
"female","Eva Horwitz",2
"female","Eva Istók",2
"female","Eve-Marie Quintin",2
"female","Fabienne von Roten",2
"female","Fanni Földi",2
"female","Federica Bressan",2
"female","Franziska Schroeder",2
"female","Gabriela Pérez-Acosta",2
"female","Gabrielle Weidemann",2
"female","Georgia Pike-Rowney",2
"female","Georgia Volioti",2
"female","Gianna Cassidy",2
"female","Gin Morgan",2
"female","Gina Ryan",2
"female","Gissel Velarde",2
"female","Giulia Ripani",2
"female","Gopala Koduri",2
"female","Grace Wong",2
"female","Grazia Ceschi",2
"female","Haley Kragness",2
"female","Hani Yehia",2
"female","Hanna Mütze",2
"female","Heike Argstatter",2
"female","Helen Prior",2
"female","Helga Gudmundsdottir",2
"female","Inette Swart",2
"female","Irène Deliège",2
"female","Jan Packer",2
"female","Jana Hoyer",2
"female","Janelize Morelli",2
"female","Janet Mills",2
"female","Jasmin Chantah",2
"female","Jasperina Brouwer",2
"female","Jeanne Bamberger",2
"female","Jennifer Nicol",2
"female","Jenny Groarke",2
"female","Jessica Abbazio",2
"female","Jessica Ross",2
"female","Jessica Tsang",2
"female","Jingyi Liu",2
"female","Joanna Spyra",2
"female","Joanne Chang",2
"female","Joanne Wong",2
"female","Johanna Dasovich-Wilson",2
